,song_artist
427,Where My Girls At? - 702
428,The Singing Nun - Dominique
429,"1, 2 Step - Ciara"
430,Light My Fire - The Doors
431,All That She Wants - Ace of Base
432,Exodus - Ferrante & Teicher
433,El Paso - Marty Robbins
434,Bad Romance - Lady Gaga
435,Starland Vocal Band - Afternoon Delight
436,Justify My Love - Madonna
437,Blaze of Glory - Bon Jovi
438,Please Don't Go - KC and the Sunshine Band
439,Bird Dog - The Everly Brothers
440,How Am I Supposed to Live Without You - Michael Bolton
441,The Beatles - Let It Be
442,Baby Got Back - Sir Mix-A-Lot
443,Dizzy - Tommy Roe
444,Better Now - Post Malone
445,Lost in Your Eyes - Debbie Gibson
446,He's So Fine - The Chiffons
447,Someday - Mariah Carey
448,Need You Tonight-INXS
449,Get Up and Boogie - Silver Convention
450,Quarterflash - Harden My Heart
451,The Letter - The Box Tops
452,Mariah Carey - Hero
453,Shake You Down - Gregory Abbott
454,Before the Next Teardrop Falls - Freddy Fender
455,How Can You Mend a Broken Heart? - Bee Gees
456,Stay - Lisa Loeb & Nine Stories
457,Touch Me in the Morning - Diana Ross
458,Sexyback - Justin Timberlake
459,Starship - We Built This City
460,Kung Fu Fighting - Carl Douglas
461,This Is How We Do It - Montell Jordan
462,Huey Lewis and the News - Stuck With You
463,Without You - Nilsson
464,Party All the Time - Eddie Murphy
465,Happy Together-Turtles
466,Rick Astley - Never Gonna Give You Up
467,I Adore Mi Amor - Color Me Badd
468,I'm Yours - Jason Mraz
469,Steve Miller Band - The Joker
470,The Rubberband Man - The Spinners
471,Sweet Child O' Mine - Guns N' Roses
472,Come Softly to Me - The Fleetwoods
473,All the Man That I Need - Whitney Houston
474,"Donna, Ritchie Valens"
475,Somethin' Stupid Nancy Sinatra & Frank Sinatra
476,One Bad Apple (Osmonds)
477,Don't Let Go (Love) - En Vogue
478,Pump Up the Jam - Technotronic
479,Everytime You Go Away - Paul Young
480,Ain't It Funny - Jennifer Lopez
481,Don't Know Much - Linda Ronstadt
482,Temperature - Sean Paul
483,This Guy's in Love With You - Herb Alpert
484,George Harrison - Got My Mind Set on You
485,9 to 5 - Dolly Parton
486,Mark Dinning - Teen Angel
487,High Enough - Damn Yankees
488,Disturbia - Rihanna
489,Rock Me Amadeus - Falco
490,Like a Prayer - Madonna
491,I Love a Rainy Night - Eddie Rabbitt
492,Billy Paul - Me & Mrs. Jones
493,Close to You - Maxi Priest
494,All for You- Janet Jackson
495,Runaround Sue - Dion
496,Bohemian Rhapsody - Queen
497,"I Can't Help Myself (Sugar Pie, Honey Bunch) - The Four Tops"
498,Rosanna - Toto
499,The Four Seasons - Sherry
500,Simple Minds - Don't You (Forget About Me)
501,Bobby Vinton - There I've Said It Again
502,Kyrie - Mr. Mister
503,Roar- Katy Perry
504,Put Your Head on My Shoulder - Paul Anka
505,MacArthur Park - Donna Summer
506,Karma Chameleon - Culture Club
507,You've Lost That Lovin' Feelin' - The Righteous Brothers
508,Save the Last Dance for Me - The Drifters
509,Kiss - Prince and the Revolution
510,You Don't Bring Me Flowers - Barbra Streisand & Neil Diamond
511,Always Be My Baby - Mariah Carey
512,Rude - Magic!
513,St Elmo's Fire (Man in Motion) (John Parr - 'St Elmo's Fire')
514,Stand by Me - Ben E. King
515,Release Me - Wilson Phillips
516,Marilyn McCoo & Billy Davis Jr. - You Don't Have to Be a Star
517,"Thank U, Next - Ariana Grande"
518,I Kissed a Girl - Katy Perry
519,Sugar- Maroon 5
520,I'm Your Baby Tonight - Whitney Houston
521,Island Girl - Elton John
522,Cold Hearted - Paula Abdul
523,"""Fly, Robin, Fly"" - Silver Convention"
524,New Kids on the Block - Step by Step
525,Janet Jackson - Together Again
526,My Prerogative - Bobby Brown
527,Then Came You - Dionne Warwick & Spinners
528,So Emotional - Whitney Houston
529,Last Date - Floyd Cramer
530,Whatcha Say - Jason Derulo
531,Black Velvet - Alannah Myles
532,Matchbox Twenty - Unwell
533,Out of Touch - Hall & Oates
534,Lawrence Welk - Calcutta
535,"""Jive Talkin'"" - The Bee Gees"
536,The Way It Is - Bruce Hornsby & the Range
537,Minnie Riperton - Lovin' You
538,How Will I Know - Whitney Houston
539,3 Doors Down - Here Without You
540,Give Me One Reason - Tracy Chapman
541,Freak Me - Silk
542,Payphone - Maroon 5
543,Hot N Cold by Katy Perry
544,Get Low - Lil' Jon
545,Buy U a Drank (Shawty Snappin') - T-Pain
546,Hey Paula - Paul and Paula
547,Don't Talk to Strangers - Rick Springfield
548,Right Thurr - Chingy
549,Part-Time Lover - Stevie Wonder
550,Do Me! - Bell Biv Devoe
551,The Most Beautiful Girl - Charlie Rich
552,Delta Dawn - Helen Reddy
553,Anything for You - Gloria Estefan
554,Airplanes - B.O.B
555,Whitesnake - Here I Go Again
556,I Need to Know - Marc Anthony
557,Mickey - Toni Basil
558,Jump - Kris Kross
559,Blinding Lights - The Weeknd
560,Vicki Lawrence - The Night the Lights Went Out in Georgia
561,Nobody - Keith Sweat
562,No Guidance - Chris Brown Ft. Drake
563,Love Story - Taylor Swift
564,Herb Alpert - Rise
565,Psycho - Post Malone Feat. Ty Dolla Sign
566,Back at One - Brian McKnight
567,Pony Time - Chubby Checker
568,Dorothy Moore - Misty Blue
569,Milli Vanilli - Blame It on the Rain
570,A Horse With No Name - America
571,Ignition (Remix) - R. Kelly
572,I Don't Wanna Cry - Mariah Carey
573,"Get Outta My Dreams, Get Into My Car - Billy Ocean"
574,"Baby, Come to Me - Patti Austin & James Ingram"
575,Sweet Dreams (Are Made of This) - Eurythmics
576,Cardi B - Bodak Yellow
577,I Wanna Know
578,Christina Aguilera - Genie in a Bottle
579,Watch Me - Silento
580,The Supremes - Baby Love
581,Can't Stop the Feeling! - Justin Timberlake
